,random,ifhoos,abc,coi,directqap
0,714.0,744.0,,,
1,720.0,744.0,,,
2,720.0,744.0,,,
3,702.0,744.0,,,
4,720.0,744.0,,,
5,786.0,744.0,,,
6,738.0,744.0,,,
7,708.0,744.0,,,
8,750.0,744.0,,,
9,750.0,744.0,,,
10,750.0,744.0,,,
11,714.0,744.0,,,
12,696.0,744.0,,,
13,684.0,744.0,,,
14,750.0,744.0,,,
15,684.0,744.0,750.0,876.0,
16,768.0,702.0,750.0,876.0,
17,756.0,804.0,738.0,876.0,
18,756.0,738.0,780.0,876.0,
19,744.0,708.0,720.0,876.0,
20,750.0,792.0,720.0,876.0,
21,720.0,822.0,714.0,876.0,
22,720.0,738.0,708.0,876.0,
23,756.0,768.0,750.0,876.0,
24,720.0,738.0,726.0,876.0,
25,756.0,786.0,780.0,876.0,918.0
26,702.0,738.0,714.0,876.0,918.0
27,756.0,804.0,756.0,876.0,918.0
28,750.0,858.0,708.0,876.0,738.0
29,750.0,738.0,744.0,876.0,738.0
30,744.0,696.0,714.0,876.0,738.0
31,732.0,702.0,714.0,876.0,738.0
32,714.0,798.0,744.0,876.0,738.0
33,726.0,780.0,792.0,876.0,738.0
34,774.0,798.0,720.0,876.0,738.0
35,750.0,708.0,756.0,876.0,738.0
36,756.0,798.0,720.0,876.0,738.0
37,756.0,762.0,714.0,876.0,738.0
38,750.0,804.0,720.0,876.0,738.0
39,744.0,798.0,714.0,876.0,738.0
40,720.0,762.0,750.0,876.0,738.0
41,708.0,798.0,726.0,876.0,708.0
42,762.0,792.0,708.0,876.0,708.0
